,Unnamed: 0,measure,best_fit_type,entropy_AIC_weights,observed_half_life,observed_effect_strength,included samples,affected samples,constant_c,Piecewise Linear Fit_scaled_relative_likelihood_over_Constant Fit,Piecewise Linear Fit_AIC_weight,Exponential Saturation Fit_scaled_relative_likelihood_over_Constant Fit,Exponential Saturation Fit_AIC_weight,Michaelis-Menten Fit_scaled_relative_likelihood_over_Constant Fit,Michaelis-Menten Fit_AIC_weight,exponential_saturation_a,exponential_saturation_b,exponential_saturation_c,michaelis_menten_a,michaelis_menten_b,michaelis_menten_c,piecewise_linear_b,piecewise_linear_m,piecewise_linear_c,dataset,num_edges,num_nodes
834,0,degree,Piecewise Linear Fit,1.0986121545448564,0.0475124772047509,-0.031828793601267,1.0,0.3799212598425197,,1.000547511719445,0.3335708407339013,0.999625990270772,0.333263616258514,0.9993318190327598,0.3331655430075848,,,,,,,0.0950249544119373,3.902350282932668,5.639828641502079,glioma_mibitof:CHOP_907_R1C7_whole_cell.tiff,1504,508
835,1,closeness,Piecewise Linear Fit,1.09782993316173,0.0034279592398063,0.0520667808099874,1.0,0.09251968503937,,1.0937708999936444,0.3520647212685049,1.006480514118542,0.3239675526816311,1.00648105272726,0.323967726049864,,,,,,,0.0068559184792674,-1.9860061172605723,0.1375621047222356,glioma_mibitof:CHOP_907_R1C7_whole_cell.tiff,1504,508
836,2,betweenness,Piecewise Linear Fit,1.098603909598657,0.0002395438612946,0.8017327192244637,1.0,0.0433070866141732,,1.3683793707512195,0.3348798655164734,1.3629828839984703,0.3335591975813597,1.3548176314038611,0.3315609369021669,,,,,,,0.000479087722589,-180.98092157112336,0.0974268359378478,glioma_mibitof:CHOP_907_R1C7_whole_cell.tiff,1504,508
837,3,harmonic,Piecewise Linear Fit,1.0980805327395708,0.0026492739439824,0.0504147191054478,1.0,0.0866141732283464,,1.0755045140385249,0.3487641705167947,1.0041268063273698,0.3256178362166307,1.0041272906314866,0.3256179932665746,,,,,,,0.0052985478877978,-3.171726203186781,0.175075753880178,glioma_mibitof:CHOP_907_R1C7_whole_cell.tiff,1504,508
838,4,clustering,Piecewise Linear Fit,1.0986121731557932,0.0382865178577489,0.0601235960885515,1.0,0.3228346456692913,,1.0064048989897685,0.3335540258769124,1.005540292525248,0.3332674682823205,1.0052718735284452,0.3331785058407671,,,,,,,0.0765730357048993,-0.7224930237994031,0.4877430387584936,glioma_mibitof:CHOP_907_R1C7_whole_cell.tiff,1504,508
839,5,pagerank,Constant Fit,1.0986122117742534,0.0,-0.0,1.0,0.0,0.0019685039370078,0.9975357065474216,0.3335147012683711,0.9968147981524784,0.3332736737578738,0.9966292114977646,0.333211624973755,,,,,,,,,,glioma_mibitof:CHOP_907_R1C7_whole_cell.tiff,1504,508
840,0,degree,Piecewise Linear Fit,1.0986121387587535,0.0220115017024571,-0.0327951919650378,1.0,0.2155997056659308,,1.0036030758353172,0.3335715693539358,1.0027868198116447,0.3333002670738143,1.002269019077408,0.33312816357225,,,,,,,0.0440230034054226,8.656959232938611,5.619831760823138,glioma_mibitof:CHOP_907_R4C11_whole_cell.tiff,4042,1359
841,1,closeness,Piecewise Linear Fit,1.0985536765205914,0.0226267409922165,0.0231679481233435,1.0,0.2236938925680647,,1.0432588471441906,0.338443696578775,1.01962939953277,0.330778065350614,1.0196299319453,0.3307782380706109,,,,,,,0.0452534819264826,-0.0780896809670856,0.0780324078346971,glioma_mibitof:CHOP_907_R4C11_whole_cell.tiff,4042,1359
842,2,betweenness,Piecewise Linear Fit,1.0986121676980471,0.0002964745982711,0.8471040501098573,1.0,0.0257542310522442,,1.4042302746757207,0.3335163119132376,1.403593932230139,0.3333651753159204,1.402555389283196,0.3331185127708418,,,,,,,0.0005929491965418,-134.80765319028663,0.0871478424785725,glioma_mibitof:CHOP_907_R4C11_whole_cell.tiff,4042,1359
843,3,harmonic,Piecewise Linear Fit,1.0984488390103913,0.0020118324160966,0.038702649046345,1.0,0.0662251655629139,,1.0515673452999772,0.3418744056282587,1.0121600435548646,0.3290627222665234,1.0121605044418909,0.3290628721052179,,,,,,,0.004023664831989,-1.9692579883933108,0.1063273437631296,glioma_mibitof:CHOP_907_R4C11_whole_cell.tiff,4042,1359
