,Unnamed: 0,measure,best_fit_type,entropy_AIC_weights,observed_half_life,observed_effect_strength,included samples,affected samples,piecewise_linear_b,piecewise_linear_m,piecewise_linear_c,Piecewise Linear Fit_scaled_relative_likelihood_over_Constant Fit,Piecewise Linear Fit_AIC_weight,Exponential Saturation Fit_scaled_relative_likelihood_over_Constant Fit,Exponential Saturation Fit_AIC_weight,Michaelis-Menten Fit_scaled_relative_likelihood_over_Constant Fit,Michaelis-Menten Fit_AIC_weight,exponential_saturation_a,exponential_saturation_b,exponential_saturation_c,dataset,num_edges,num_nodes,michaelis_menten_a,michaelis_menten_b,michaelis_menten_c,constant_c
4630,4,clustering,Exponential Saturation Fit,1.0986114576465853,0.0126071569934949,0.1334664904938666,1.0,0.2069524913093858,,,,1.1044299484330045,0.3335479607723794,1.1049941166439716,0.3337183447397534,1.1017337842336126,0.3327336944878671,-0.1684935943010326,54.98045124011803,0.7154673891647186,glioma_mibitof:UCSF_TA8_R4C6_whole_cell.tiff,43150,4315,,,,
4631,5,pagerank,Piecewise Linear Fit,1.0986074550371308,0.0063757685358975,-0.0630873363051436,1.0,0.0676709154113557,0.0127515376599246,0.0021681512928638,0.0002052952771628,1.02859025111969,0.334271484041806,1.027259390021809,0.3338389805120885,1.0212607323866487,0.3318895354461053,,,,glioma_mibitof:UCSF_TA8_R4C6_whole_cell.tiff,43150,4315,,,,
4632,0,degree,Piecewise Linear Fit,1.09853829126052,0.0092707923530719,-0.1041390305689088,1.0,0.0761648745519713,0.0185415847061529,205.25394054258055,16.369501075404568,1.0948528914308182,0.3373961348096198,1.086428056727217,0.3347998895170763,1.0637262658356974,0.3278039756733039,,,,tma_controls_mibitof:201001_Slide31Stain4Run_restart_Point14_R3C2_segmentation_labels.tiff,33480,3348,,,,
4633,1,closeness,Piecewise Linear Fit,1.0986066118961717,0.2073761498769698,-0.2438989085616036,1.0,0.9746117084826762,0.4147523003733359,0.0669607396498422,0.0430476113059905,3.2648212791914824,0.3349223560856805,3.2416197144407244,0.3325422188387428,3.2415534888748643,0.3325354250755766,,,,tma_controls_mibitof:201001_Slide31Stain4Run_restart_Point14_R3C2_segmentation_labels.tiff,33480,3348,,,,
4634,2,betweenness,Piecewise Linear Fit,1.0986122793113653,0.2220582211716248,-0.8788649837442826,1.0,0.9889486260454002,0.4441164439582363,0.0274996958593348,0.0008416708057582,1.1711892238359802,0.3333978209111865,1.1708488235735697,0.33330092050994,1.170850011171889,0.3333012585788735,,,,tma_controls_mibitof:201001_Slide31Stain4Run_restart_Point14_R3C2_segmentation_labels.tiff,33480,3348,,,,
4635,3,harmonic,Exponential Saturation Fit,1.0983121456244522,0.1527144729187444,-0.197377355240219,1.0,1.0,,,,2.957121996454014,0.3218457279579292,3.1219340102673403,0.3397834534307265,3.10895470641311,0.3383708186113443,0.0372106336095041,3.45337476494129,0.0620164916847063,tma_controls_mibitof:201001_Slide31Stain4Run_restart_Point14_R3C2_segmentation_labels.tiff,33480,3348,,,,
4636,4,clustering,Exponential Saturation Fit,1.0985992790792916,0.0134758829872507,0.1933730028626464,1.0,0.2216248506571087,,,,1.3383005177540614,0.3318599702342275,1.3538556467069225,0.3357171940511539,1.3405704003292376,0.3324228357146184,-0.2327631173973719,51.43612340708442,0.7182316461720271,tma_controls_mibitof:201001_Slide31Stain4Run_restart_Point14_R3C2_segmentation_labels.tiff,33480,3348,,,,
4637,5,pagerank,Piecewise Linear Fit,1.0985459155955468,0.0090229356176537,-0.0781690183281985,1.0,0.0749701314217443,0.0180458719822813,0.0024158641368812,0.0002570614429576,1.083549729904811,0.3372365527948734,1.075227045649258,0.3346462578864992,1.054248980179734,0.3281171893186274,,,,tma_controls_mibitof:201001_Slide31Stain4Run_restart_Point14_R3C2_segmentation_labels.tiff,33480,3348,,,,
4638,0,degree,Piecewise Linear Fit,1.0985746084979324,0.0108809349750537,-0.0845718217576176,1.0,0.1030253475061324,0.0217618699501225,144.74527671396572,17.04783394715046,1.079132552551349,0.3361871383326849,1.0735331685877805,0.3344427364362844,1.0572505115379764,0.3293701252310306,,,,tma_controls_mibitof:201003_Slide27Stain5Run_shuffled_run_Point19_R6C11_segmentation_labels.tiff,24460,2446,,,,
4639,1,closeness,Piecewise Linear Fit,1.098608578588671,0.2024343673412417,-0.2257708080527978,1.0,0.9599345870809484,0.4048687352374394,0.0729551226470123,0.0506456082788803,3.179384971798847,0.3346177867289382,3.1611825791783628,0.3327020563641464,3.160974500564575,0.3326801569069153,,,,tma_controls_mibitof:201003_Slide27Stain5Run_shuffled_run_Point19_R6C11_segmentation_labels.tiff,24460,2446,,,,
4640,2,betweenness,Piecewise Linear Fit,1.0986122727285292,0.1609044434182729,-0.8211720268302035,1.0,0.8638593622240393,0.3218088878494408,0.0317712037170475,0.0011132763831406,1.1383451392662316,0.333417388946759,1.1379276260234297,0.3332951007492133,1.1379017109192135,0.3332875103040276,,,,tma_controls_mibitof:201003_Slide27Stain5Run_shuffled_run_Point19_R6C11_segmentation_labels.tiff,24460,2446,,,,
4641,3,harmonic,Exponential Saturation Fit,1.0985057094342892,0.1449676135511941,-0.1835363539266336,1.0,1.0,,,,2.8847623799702493,0.3265409606864993,2.982736974339645,0.337631204510527,2.9668054566562563,0.3358278348029737,0.0386651652109362,3.787769596443944,0.0726767032302006,tma_controls_mibitof:201003_Slide27Stain5Run_shuffled_run_Point19_R6C11_segmentation_labels.tiff,24460,2446,,,,
4642,4,clustering,Exponential Saturation Fit,1.0986026427275548,0.0158050224488431,0.1745216913371316,1.0,0.2542927228127555,,,,1.323146569459687,0.3336840375287964,1.328066276385579,0.3349247373185109,1.3140549543727806,0.3313912251526926,-0.2106697847668544,43.85613384501681,0.7088982174675332,tma_controls_mibitof:201003_Slide27Stain5Run_shuffled_run_Point19_R6C11_segmentation_labels.tiff,24460,2446,,,,
