,Unnamed: 0,measure,best_fit_type,entropy_AIC_weights,observed_half_life,observed_effect_strength,included samples,affected samples,michaelis_menten_a,michaelis_menten_b,michaelis_menten_c,Piecewise Linear Fit_scaled_relative_likelihood_over_Constant Fit,Piecewise Linear Fit_AIC_weight,Exponential Saturation Fit_scaled_relative_likelihood_over_Constant Fit,Exponential Saturation Fit_AIC_weight,Michaelis-Menten Fit_scaled_relative_likelihood_over_Constant Fit,Michaelis-Menten Fit_AIC_weight,exponential_saturation_a,exponential_saturation_b,exponential_saturation_c,piecewise_linear_b,piecewise_linear_m,piecewise_linear_c,dataset,num_edges,num_nodes,constant_c
947,5,pagerank,Exponential Saturation Fit,1.0986113071950534,0.0060881188059183,-0.2240953457485591,1.0,0.1752136752136752,,,,1.0449732244551873,0.3332124817703673,1.0473053456444386,0.3339561294266647,1.0437780953146325,0.332831388802968,0.0008095620140787,113.85243988440764,0.0014015081618967,,,,glioma_mibitof:CHOP_907_R7C6_whole_cell.tiff,1428,468,
948,0,degree,Constant Fit,1.0986122315291844,0.0,-0.0,1.0,0.0,,,,0.9994795599439188,0.3334921880780644,0.9987984826879144,0.3332649358625536,0.9987323692281256,0.3332428760593819,,,,,,,glioma_mibitof:CHOP_907_R13C11_whole_cell.tiff,3279,935,7.013903743315508
949,1,closeness,Michaelis-Menten Fit,1.098612147047115,0.1204883370707961,-0.2609555520006691,1.0,1.0,0.0442712385149985,0.2386118587327368,0.0420683093030929,1.018289060232313,0.3330836653899989,1.0193690641765898,0.3334369360735839,1.0194988785922054,0.3334793985364173,,,,,,,glioma_mibitof:CHOP_907_R13C11_whole_cell.tiff,3279,935,
950,2,betweenness,Piecewise Linear Fit,1.0986122886680227,0.2433888342476062,-0.8806639976946905,1.0,0.9989304812834224,,,,1.074078418337463,0.3333334323363084,1.074077476819906,0.3333331401422996,1.074078402822674,0.333333427521392,,,,0.4867776689520003,0.1065653820460859,0.0035146172302267,glioma_mibitof:CHOP_907_R13C11_whole_cell.tiff,3279,935,
951,3,harmonic,Michaelis-Menten Fit,1.098612285635052,0.2075326120899234,-0.2009221864171957,1.0,1.0,0.1388600146874335,1.4087128396220994,0.0709116222067827,1.259556387233986,0.3332995619305384,1.259700678584,0.3333377438207955,1.2597949675491769,0.3333626942486659,,,,,,,glioma_mibitof:CHOP_907_R13C11_whole_cell.tiff,3279,935,
952,4,clustering,Exponential Saturation Fit,1.0986119039207345,0.0089790227230444,0.1576006401986804,1.0,0.2438502673796791,,,,1.0436027297043329,0.3333203173454515,1.044784558460938,0.3336977862088294,1.042543157405943,0.332981896445719,-0.2051028068780808,77.196283130123,0.7532556347281913,,,,glioma_mibitof:CHOP_907_R13C11_whole_cell.tiff,3279,935,
953,5,pagerank,Piecewise Linear Fit,1.098604335287763,0.0064819711359577,-0.1243416518790459,1.0,0.1294117647058823,,,,1.0305323965359876,0.3345789684207054,1.0285312672038944,0.3339292694982274,1.0210235318192191,0.3314917620810673,,,,0.0129639423416445,0.0185918505045597,0.0008486873870572,glioma_mibitof:CHOP_907_R13C11_whole_cell.tiff,3279,935,
954,0,degree,Piecewise Linear Fit,1.0986110953748474,0.2032461653725134,-0.3513937599551631,1.0,0.945489321007332,,,,1.2208699002701917,0.334061718809902,1.2168761523290277,0.3329689256290533,1.2168777235687056,0.3329693555610447,,,,0.4064923307457315,57.68711301085854,21.64154405380412,glioma_mibitof:Brainiaqc_R9C2_whole_cell.tiff,51111,3137,
955,1,closeness,Michaelis-Menten Fit,1.098612121082078,0.2372558829211538,-0.0871943598426425,0.9987248963978324,1.0,1463.0254642683226,40435.10276664411,0.0898664728873094,1.0002703742087713,0.3330604368247378,1.0014995275663354,0.3334697085224213,1.0014999664354216,0.3334698546528409,,,,,,,glioma_mibitof:Brainiaqc_R9C2_whole_cell.tiff,51111,3137,
956,2,betweenness,Michaelis-Menten Fit,1.098612210336236,0.1297409305783029,-0.8667943505767993,1.0,1.0,0.008349757753234,0.2863004781795458,0.0004001481829505,1.0411612168427973,0.3331481414376422,1.04196793872381,0.3334062742714135,1.0420907911809545,0.3334455842909443,,,,,,,glioma_mibitof:Brainiaqc_R9C2_whole_cell.tiff,51111,3137,
957,3,harmonic,Exponential Saturation Fit,1.0986041326721223,0.1533826935765238,-0.3623710759752659,1.0,1.0,,,,1.7245782588001712,0.3314331158237035,1.739874581066731,0.334372795553272,1.7389446978659049,0.3341940886230244,0.1072480653084644,3.2614652113168643,0.074282021011716,,,,glioma_mibitof:Brainiaqc_R9C2_whole_cell.tiff,51111,3137,
958,4,clustering,Piecewise Linear Fit,1.0986093904018173,0.0204466373022768,0.1129522571186002,1.0,0.1393050685368186,,,,1.0696667628479672,0.3342092967856383,1.0674610088097714,0.3335201256048634,1.0634617186281978,0.3322705776094983,,,,0.0408932746035149,-3.937052563668089,0.7931854281262815,glioma_mibitof:Brainiaqc_R9C2_whole_cell.tiff,51111,3137,
959,5,pagerank,Piecewise Linear Fit,1.0986067493696896,0.0129618073577066,-0.1833633391659065,1.0,0.0914886834555307,,,,1.0613971632843655,0.3342842492962439,1.0602981217065477,0.3339381090374463,1.053438349091115,0.3317776416663097,,,,0.0259236153842138,0.0038761353381609,0.0002237591339757,glioma_mibitof:Brainiaqc_R9C2_whole_cell.tiff,51111,3137,
960,0,degree,Constant Fit,1.0986118941775715,0.0,-0.0,1.0,0.0,,,,0.9965202621959508,0.3337498636368952,0.9947664458480704,0.33316248374192,0.99454301286373,0.3330876526211847,,,,,,,glioma_mibitof:CHOP_907_R5C14_whole_cell.tiff,372,277,2.6859205776173285
961,1,closeness,Piecewise Linear Fit,1.0986121832398774,0.1829440491724414,0.1378273171703506,0.9205776173285198,0.9215686274509804,,,,1.012748115591349,0.3335498097771132,1.0117619323043647,0.3332250091255841,1.0117624544573651,0.3332251810973027,,,,0.3658880982613663,-0.4381041720251912,0.661662817065236,glioma_mibitof:CHOP_907_R5C14_whole_cell.tiff,372,277,
962,2,betweenness,Michaelis-Menten Fit,1.0986118902909352,0.0574869587498293,-0.5892248152865183,1.0,1.0,0.0001719756864365,0.0774337689830158,5.108350740346226e-05,1.0037017816922795,0.3329139245729433,1.0055112471111771,0.3335140990918812,1.005685741140793,0.3335719763351754,,,,,,,glioma_mibitof:CHOP_907_R5C14_whole_cell.tiff,372,277,
963,3,harmonic,Piecewise Linear Fit,1.098612039332142,0.1459354258838403,-0.0969922421095841,1.0,0.8483754512635379,,,,1.0008334590048091,0.3336662513565807,0.999335321358527,0.333166789664974,0.999335829215065,0.3331669589784454,,,,0.2918708545768359,0.0103899857271721,0.0141166018578108,glioma_mibitof:CHOP_907_R5C14_whole_cell.tiff,372,277,
964,4,clustering,Michaelis-Menten Fit,1.0986122749917615,0.0207525000950992,0.1923178219283194,1.0,0.9855595667870036,-0.2454167895873318,0.0228801561338844,0.7236616303378637,1.0086442838800591,0.3332558317785681,1.0089739488520926,0.3333647530070121,1.0090183260250647,0.3333794152144197,,,,,,,glioma_mibitof:CHOP_907_R5C14_whole_cell.tiff,372,277,
965,5,pagerank,Constant Fit,1.0986122593823904,0.0,-0.0,1.0,0.0,,,,0.9961122677331457,0.3334474236995345,0.9956008572463132,0.333276229633553,0.9956012068617452,0.3332763466669124,,,,,,,glioma_mibitof:CHOP_907_R5C14_whole_cell.tiff,372,277,0.003610108303249
966,0,degree,Piecewise Linear Fit,1.0986122872965454,0.1791700854520012,-0.1038944247797683,1.0,0.92,,,,1.0021466235808114,0.3333580230751418,1.0020350712174106,0.3333209158550428,1.002035507764558,0.3333210610698153,,,,0.3583401709245701,1.742262866118835,2.692440518407747,glioma_mibitof:CHOP_907_R4C14_whole_cell.tiff,518,350,
967,1,closeness,Constant Fit,1.0986115347895011,0.0,-0.0,0.9485714285714286,0.0,,,,0.9996725338443252,0.3339118780182544,0.997128800515792,0.3330622170101223,0.997020088757016,0.3330259049716232,,,,,,,glioma_mibitof:CHOP_907_R4C14_whole_cell.tiff,518,350,0.4591644851422507
968,2,betweenness,Piecewise Linear Fit,1.0986092330917847,0.1485963955654603,-0.7064786842258873,1.0,0.8342857142857143,,,,1.0247424506753555,0.3344988974333147,1.019431030015843,0.3327651307163796,1.019341701386933,0.3327359718503055,,,,0.2971928071079146,0.0018601295866517,0.0001148396585525,glioma_mibitof:CHOP_907_R4C14_whole_cell.tiff,518,350,
969,3,harmonic,Piecewise Linear Fit,1.0986087440223409,0.1668270760647943,-0.276379601503221,1.0,0.8828571428571429,,,,1.0514170798007925,0.3345888750185512,1.045498619587215,0.3327054635895888,1.0454992411640265,0.3327056613918599,,,,0.3336541532202403,0.0305921817821669,0.0133623180221375,glioma_mibitof:CHOP_907_R4C14_whole_cell.tiff,518,350,
970,4,clustering,Constant Fit,1.0986112453464192,0.0,-0.0,1.0,0.0,,,,0.9979687056541516,0.3340144032585309,0.9949162298165904,0.3329927570991197,0.9949164764393688,0.3329928396423494,,,,,,,glioma_mibitof:CHOP_907_R4C14_whole_cell.tiff,518,350,0.4685510204081632
971,5,pagerank,Constant Fit,1.098612236432352,0.0,-0.0,1.0,0.0,,,,0.994395574590242,0.3331809715280214,0.995077554551762,0.3334094749042915,0.9950777893266716,0.3334095535676871,,,,,,,glioma_mibitof:CHOP_907_R4C14_whole_cell.tiff,518,350,0.0028571428571428
972,0,degree,Michaelis-Menten Fit,1.09857064528729,0.2409219636378984,0.2828909520346857,1.0,1.0,-480162.0294676872,113950.49094764424,4.603814050064418,0.9976681923790658,0.3290358805825352,1.0172133463393829,0.3354819685640698,1.017213899058014,0.335482150853395,,,,,,,glioma_mibitof:CHOP_907_R2C1_whole_cell.tiff,1052,522,
973,1,closeness,Piecewise Linear Fit,1.0986121483575528,0.1947146103893381,-0.5487927446289163,0.971264367816092,0.95069033530572,,,,1.0724961790638892,0.3335830691702602,1.071291232482983,0.3332082894866667,1.071292363729399,0.3332086413430731,,,,0.3894292208264996,0.8143064467838269,0.1303629339936336,glioma_mibitof:CHOP_907_R2C1_whole_cell.tiff,1052,522,
974,2,betweenness,Piecewise Linear Fit,1.0986086419895909,0.0374291671667733,-0.8475557166401457,1.0,0.3927203065134099,,,,1.0188704126437709,0.3343014002618929,1.0166261728928097,0.3335650431334894,1.0122633456081414,0.3321335566046178,,,,0.0748583344791322,0.0514187608608631,0.0003461581760264,glioma_mibitof:CHOP_907_R2C1_whole_cell.tiff,1052,522,
975,3,harmonic,Piecewise Linear Fit,1.0986122884389349,0.2142857938234185,0.4444591083277163,1.0,0.9904214559386972,,,,1.0653195564758011,0.3333434237470895,1.0652706436665922,0.3333281187025255,1.0652717265775655,0.3333284575503851,,,,0.4285715868708424,-0.0552286790077566,0.0384619656477855,glioma_mibitof:CHOP_907_R2C1_whole_cell.tiff,1052,522,
976,4,clustering,Constant Fit,1.098612271252596,0.0,-0.0,1.0,0.0,,,,0.996930490881104,0.3334194387045167,0.9965910856915704,0.3333059259884118,0.9964975259566314,0.3332746353070714,,,,,,,glioma_mibitof:CHOP_907_R2C1_whole_cell.tiff,1052,522,0.4868191089455457
977,5,pagerank,Piecewise Linear Fit,1.0985975369594354,0.0024533681941538,-0.106154301472374,1.0,0.1015325670498084,,,,1.0079886686657291,0.3346320689703901,0.996368923071324,0.3307745459346279,1.0078721439459326,0.3345933850949818,,,,0.00490673639476,0.0760457081762903,0.0015709500764422,glioma_mibitof:CHOP_907_R2C1_whole_cell.tiff,1052,522,
978,0,degree,Piecewise Linear Fit,1.0986095135746212,0.1687866809244802,-0.1991398429983039,1.0,0.9040139616055848,,,,1.0534031267855202,0.3344442152341685,1.0481542928367686,0.3327777666483916,1.0481550848919745,0.3327780181174399,,,,0.3375733618534021,7.600451758844985,5.159125677660899,glioma_mibitof:CHOP_907_R7C13_whole_cell.tiff,1810,573,
979,1,closeness,Constant Fit,1.0986122250942256,0.0,-0.0,0.9860383944153578,0.0,,,,0.998450472802725,0.3335007027475495,0.9977394228383848,0.33326319906634,0.997658286917364,0.3332360981861104,,,,,,,glioma_mibitof:CHOP_907_R7C13_whole_cell.tiff,1810,573,0.1785206643810077
980,2,betweenness,Constant Fit,1.0986118407602352,0.0,-0.0,1.0,0.0,,,,0.9976237873755576,0.3328872103462499,0.9996290547262312,0.3335563281668265,0.9996294542708698,0.3335564614869236,,,,,,,glioma_mibitof:CHOP_907_R7C13_whole_cell.tiff,1810,573,0.0039278610766126
981,3,harmonic,Piecewise Linear Fit,1.0986122336473223,0.1153232619465011,-0.2004443790204549,1.0,0.6928446771378709,,,,1.09046400724248,0.3334285360934257,1.09034831847768,0.3333931622202547,1.0896456261359315,0.3331783016863196,,,,0.2306465241874041,0.0783440473599002,0.0360394140007998,glioma_mibitof:CHOP_907_R7C13_whole_cell.tiff,1810,573,
982,4,clustering,Constant Fit,1.0986122874305302,0.0,-0.0,1.0,0.0,,,,0.9967708286980848,0.3333297223486305,0.9968470378352092,0.3333552074147929,0.9967270138298174,0.3333150702365764,,,,,,,glioma_mibitof:CHOP_907_R7C13_whole_cell.tiff,1810,573,0.6057481543083637
983,5,pagerank,Exponential Saturation Fit,1.0986116535888195,0.0035003984359818,-0.1512872324342274,1.0,0.1169284467713787,,,,1.0236295689920103,0.3335005767336745,1.0241998285889409,0.3336863684597298,1.0215193244437664,0.3328130548065955,0.0004672651013319,198.01950921781756,0.001310665268406,,,,glioma_mibitof:CHOP_907_R7C13_whole_cell.tiff,1810,573,
984,0,degree,Exponential Saturation Fit,1.0984405313999797,0.0105420566187965,-0.2703865245968725,1.0,0.2147385103011093,,,,1.023087235280689,0.324631076680051,1.0656561879465427,0.3381384340788234,1.0627947651176268,0.3372304892411254,3.941942021177563,65.75065999209775,5.318486234049547,,,,glioma_mibitof:CHOP_907_R8C10_whole_cell.tiff,5594,1262,
