,Unnamed: 0,measure,best_fit_type,entropy_AIC_weights,observed_half_life,observed_effect_strength,included samples,affected samples,michaelis_menten_a,michaelis_menten_b,michaelis_menten_c,Piecewise Linear Fit_scaled_relative_likelihood_over_Constant Fit,Piecewise Linear Fit_AIC_weight,Exponential Saturation Fit_scaled_relative_likelihood_over_Constant Fit,Exponential Saturation Fit_AIC_weight,Michaelis-Menten Fit_scaled_relative_likelihood_over_Constant Fit,Michaelis-Menten Fit_AIC_weight,dataset,num_edges,num_nodes,exponential_saturation_a,exponential_saturation_b,exponential_saturation_c,piecewise_linear_b,piecewise_linear_m,piecewise_linear_c,constant_c
5353,1,closeness,Exponential Saturation Fit,1.0985836138788854,1.0554555025758132e-07,0.5284181899275496,1.0,0.0076335877862595,,,,1.0025347529217028,0.3320508451475734,1.0170620435698745,0.3368624480604616,0.9996238065342824,0.331086706791965,tma_controls_mibitof:201008_Slide25Stain6Run_shuffled_6a_Point3_R1C5_segmentation_labels.tiff,13755,2751,-0.0938443402016595,6567279.991134984,0.1357195865577505,,,,
5354,2,betweenness,Exponential Saturation Fit,1.0986111668643743,0.062521361123431,-1.28972266592081,1.0,0.7742639040348964,,,,1.001181522438696,0.3326274744636667,1.0044020487602228,0.3336974458052911,1.0043347287040438,0.3336750797310421,tma_controls_mibitof:201008_Slide25Stain6Run_shuffled_6a_Point3_R1C5_segmentation_labels.tiff,13755,2751,129.65675621160304,11.018882535082533,-14.50125890193898,,,,
5355,3,harmonic,Michaelis-Menten Fit,1.0985177607800538,0.1333567577180649,-0.2112215600087949,1.0,1.0,0.0371003166971833,0.2886241516037586,0.0437841202006725,1.7977199167511442,0.3268623790999632,1.850908772679012,0.3365332048099032,1.8513004296727595,0.3366044160901335,tma_controls_mibitof:201008_Slide25Stain6Run_shuffled_6a_Point3_R1C5_segmentation_labels.tiff,13755,2751,,,,,,,
5356,4,clustering,Michaelis-Menten Fit,1.0986083167929337,0.010046609665514,0.2962213543016398,1.0,0.6077789894583788,-0.2884122987374418,0.0104709742948463,0.6179735603822385,1.1475967544845151,0.3320766961238165,1.1528218360739442,0.3335886626089207,1.1553998028425263,0.3343346412672626,tma_controls_mibitof:201008_Slide25Stain6Run_shuffled_6a_Point3_R1C5_segmentation_labels.tiff,13755,2751,,,,,,,
5357,5,pagerank,Piecewise Linear Fit,1.0986037066308882,0.0083123650181531,-0.0641306527272537,1.0,0.0701563067975281,,,,1.0298302580399945,0.33472215210666,1.0270769346837012,0.3338272489786261,1.0197647620856662,0.3314505989147138,tma_controls_mibitof:201008_Slide25Stain6Run_shuffled_6a_Point3_R1C5_segmentation_labels.tiff,13755,2751,,,,0.0166247306639119,0.0026489130472302,0.0003213230051463,
5358,0,degree,Exponential Saturation Fit,0.6931444931815921,0.0018108962235202,-0.0878566179599408,1.0,0.0430496518042868,,,,0.0,0.0,1.0143789355276127,0.5011591755569936,1.0096864413064468,0.4988408244430065,glioma_mibitof:CHOP_941_R98C3_whole_cell.tiff,55285,11057,1.6201978902114669,382.7647169159727,8.410594542898936,,,,
5359,1,closeness,Piecewise Linear Fit,1.0986012858726173,0.1994193577999274,-0.2416980690876677,1.0,0.9598444424346568,,,,3.218224439033095,0.3355455881854751,3.186713137309122,0.3322600876022289,3.186082399322607,0.3321943242122959,glioma_mibitof:CHOP_941_R98C3_whole_cell.tiff,55285,11057,,,,0.3988387171804829,0.0252329276979902,0.0157871573634811,
5360,2,betweenness,Constant Fit,1.0986122886540706,0.0,-0.0,0.033101202857918,0.0,,,,0.999819135468028,0.3333308431500271,0.999829837845852,0.3333344112279897,0.9998308408538852,0.3333347456219831,glioma_mibitof:CHOP_941_R98C3_whole_cell.tiff,55285,11057,,,,,,,1410849095991.6296
5361,3,harmonic,Exponential Saturation Fit,1.0977363244531673,0.1291800827209645,-0.2049513923801033,1.0,1.0,,,,2.898674400136426,0.313704830392476,3.1731097131336825,0.3434051938805099,3.16834902879817,0.342889975727014,glioma_mibitof:CHOP_941_R98C3_whole_cell.tiff,55285,11057,0.0131210447680141,4.632878865878005,0.02292252785481,,,,
5362,4,clustering,Exponential Saturation Fit,1.098611893524248,0.006453859938767,0.2230079309314724,1.0,0.1226372433752374,,,,1.0771951918353684,0.3334377344179573,1.0778246817272958,0.3336325883172267,1.0755538757332876,0.3329296772648159,glioma_mibitof:CHOP_941_R98C3_whole_cell.tiff,55285,11057,-0.2001314385377348,107.4004064135868,0.5487749595176635,,,,
5363,5,pagerank,Piecewise Linear Fit,1.0986087909502371,0.0030148854149792,-0.0607279078026742,1.0,0.0369901419914985,,,,1.0153077577900882,0.3342445710301899,1.0133934860339295,0.3336143828561479,1.0089180499187749,0.3321410461136622,glioma_mibitof:CHOP_941_R98C3_whole_cell.tiff,55285,11057,,,,0.0060297711801526,0.0017218364369213,8.02907582235761e-05,
5364,0,degree,Piecewise Linear Fit,1.0986067694815516,0.0096589332410959,-0.0885235131772916,1.0,0.0863066538090646,,,,1.027614110615133,0.3344187166914529,1.025614369803718,0.3337679366476984,1.019608233930627,0.3318133466608488,tuberculosis_mibitof:segmentationmask_SampleID26.tif,10370,2074,,,,0.0193178664822145,84.90824958488689,8.444343295968586,
5365,1,closeness,Piecewise Linear Fit,1.098609715266158,0.2058134167163597,-0.2289721382778937,1.0,0.9619093539054966,,,,2.9616548927630006,0.3344030661937094,2.9474747264682284,0.3328019711101141,2.9474126561539062,0.3327949626961765,tuberculosis_mibitof:segmentationmask_SampleID26.tif,10370,2074,,,,0.4116268341913209,0.0542612632332833,0.0376054694779584,
5366,2,betweenness,Piecewise Linear Fit,1.0986116615701491,0.1774150852753687,-0.7991703116385027,1.0,0.9074252651880425,,,,1.096619140048933,0.3338613329781997,1.0940185472133823,0.3330695928389827,1.0940168436070594,0.3330690741828175,tuberculosis_mibitof:segmentationmask_SampleID26.tif,10370,2074,,,,0.3548301713012427,0.0472788476663541,0.0021078805195835,
5367,3,harmonic,Exponential Saturation Fit,1.0983678993858352,0.1502373671089573,-0.1857012031943124,1.0,1.0,,,,2.6374565106332857,0.3229410909336453,2.766265903316185,0.3387130460835438,2.7632671227744376,0.3383458629828109,tuberculosis_mibitof:segmentationmask_SampleID26.tif,10370,2074,0.0303142649421921,3.510324522555113,0.0544807613739724,,,,
5368,4,clustering,Michaelis-Menten Fit,1.0986054418182276,0.0071173671779955,0.2664766435688422,1.0,0.4590163934426229,-0.2840553182622188,0.0073312003050797,0.6650212770497187,1.092923956816877,0.3316098936399822,1.1006867722907372,0.3339652509341264,1.1022015424147429,0.3344248554258914,tuberculosis_mibitof:segmentationmask_SampleID26.tif,10370,2074,,,,,,,
5369,5,pagerank,Piecewise Linear Fit,1.0986080806269731,0.0088466282810014,-0.0660270563126901,1.0,0.081967213114754,,,,1.0232520262072602,0.3342606564939289,1.0216573030358207,0.3337397161971506,1.0163304736705627,0.3319996273089204,tuberculosis_mibitof:segmentationmask_SampleID26.tif,10370,2074,,,,0.0176932570829826,0.0033961500861862,0.000424988301612,
5370,0,degree,Exponential Saturation Fit,1.0985949237041304,0.0080725794523417,-0.0922549470283656,1.0,0.130281690140845,,,,1.005154185742064,0.3306062084169758,1.018963082342891,0.3351481055829823,1.0162194229741468,0.3342456860000418,tma_controls_mibitof:201007_Slide21Stain1Run_shuffled_4b_Point12_R7C10_segmentation_labels.tiff,2840,568,1.7062616836417084,85.86439866613773,8.39440405247516,,,,
5371,1,closeness,Piecewise Linear Fit,1.0986111493786446,0.2097251185534439,-0.2500921991965101,1.0,0.9841549295774648,,,,2.503293303708228,0.3340450429967581,2.4952902757117625,0.3329771010871051,2.4952959323095767,0.3329778559161366,tma_controls_mibitof:201007_Slide21Stain1Run_shuffled_4b_Point12_R7C10_segmentation_labels.tiff,2840,568,,,,0.4194502375026241,0.1059923343743145,0.0666549844683136,
5372,2,betweenness,Piecewise Linear Fit,1.0986122883684644,0.2222262020376623,-0.9299497500257902,1.0,0.9929577464788732,,,,1.1466405950461784,0.3333448713259843,1.1465803971655844,0.3333273709384631,1.1465817276712644,0.3333277577355525,tma_controls_mibitof:201007_Slide21Stain1Run_shuffled_4b_Point12_R7C10_segmentation_labels.tiff,2840,568,,,,0.4444524044929175,0.1064320202793872,0.0017816310198622,
5373,3,harmonic,Michaelis-Menten Fit,1.0985278910612268,0.1518996594052205,-0.2003543924716243,1.0,1.0,0.0927088403662262,0.437075435246301,0.0954288535406723,2.012772193433373,0.3272208295265705,2.068219414292922,0.3362350069202156,2.0701210715780483,0.3365441635532138,tma_controls_mibitof:201007_Slide21Stain1Run_shuffled_4b_Point12_R7C10_segmentation_labels.tiff,2840,568,,,,,,,
5374,4,clustering,Piecewise Linear Fit,1.0986093159530532,0.0448844033829008,0.1716872479553805,1.0,0.2940140845070422,,,,1.0955742063307716,0.3343824250134762,1.091751749525541,0.3332157652211441,1.0890848970365024,0.3324018097653795,tma_controls_mibitof:201007_Slide21Stain1Run_shuffled_4b_Point12_R7C10_segmentation_labels.tiff,2840,568,,,,0.0897688067618218,-2.255621038135138,0.6909319208641415,
5375,5,pagerank,Piecewise Linear Fit,1.098610231332296,0.0130912481453435,-0.0638482947407466,1.0,0.1073943661971831,,,,1.0180416999500046,0.3340198671163065,1.0166593379431714,0.3335663136185945,1.013146710622693,0.332413819265099,tma_controls_mibitof:201007_Slide21Stain1Run_shuffled_4b_Point12_R7C10_segmentation_labels.tiff,2840,568,,,,0.026182496612589,0.008133684948546,0.001561224374008,
5376,0,degree,Piecewise Linear Fit,1.0986097609353849,0.0067599901308768,-0.0916783580828302,1.0,0.0715456034953577,,,,1.0226414457387851,0.334137439711715,1.0207796263888682,0.3335291096333878,1.017120262662884,0.3323334506548971,tuberculosis_mibitof:segmentationmask_SampleID14.tif,9155,1831,,,,0.0135199802617644,125.16192114063048,8.382838856121476,
5377,1,closeness,Piecewise Linear Fit,1.0986118435934389,0.1896268450936086,-0.2016116198900046,1.0,0.9164391043145822,,,,2.448488371352287,0.3337746315174822,2.4439866482132167,0.3331609626924565,2.4432783305929884,0.3330644057900611,tuberculosis_mibitof:segmentationmask_SampleID14.tif,9155,1831,,,,0.3792536908999387,0.0532120471757637,0.0399584318059834,
5378,2,betweenness,Piecewise Linear Fit,1.0986117487399265,0.1350257874477787,-0.7092355065903316,1.0,0.7629710540688148,,,,1.0659305326130513,0.3338151966842063,1.0638671590629798,0.3331690143802229,1.0633778833156493,0.3330157889355708,tuberculosis_mibitof:segmentationmask_SampleID14.tif,9155,1831,,,,0.2700515754218953,0.0513076513368995,0.0028402053999545,
5379,3,harmonic,Exponential Saturation Fit,1.0985745468196688,0.128656199032281,-0.1785611735679286,1.0,1.0,,,,2.023049177583255,0.3292581299219693,2.0625523063351854,0.3356873983960384,2.058663436928605,0.3350544716819923,tuberculosis_mibitof:segmentationmask_SampleID14.tif,9155,1831,0.0274973801230478,4.61172503628279,0.0566090734435179,,,,
5380,4,clustering,Michaelis-Menten Fit,1.0986078124683971,0.0092318384889312,0.2348654916628475,1.0,0.56799563080284,-0.2589845932961292,0.0095942718534601,0.6677316624320184,1.0661303590610678,0.3322321055988693,1.0689809013109282,0.3331204037752796,1.0738813116712769,0.334647490625851,tuberculosis_mibitof:segmentationmask_SampleID14.tif,9155,1831,,,,,,,
5381,5,pagerank,Piecewise Linear Fit,1.0986100554558385,0.0066001110059417,-0.0719367147717622,1.0,0.0715456034953577,,,,1.0217616173344084,0.3340744529056981,1.020124489328332,0.3335391786952679,1.0165986366253952,0.3323863683990339,tuberculosis_mibitof:segmentationmask_SampleID14.tif,9155,1831,,,,0.013200222248194,0.0055859652140423,0.0004756378644245,
5382,0,degree,Piecewise Linear Fit,1.0986046804345275,0.0078584996154023,-0.07729583556048,1.0,0.0743272105937633,,,,1.0298377510200605,0.3347093853205692,1.0267353117640805,0.3337010560615817,1.0202386317362542,0.3315895586178491,tma_controls_mibitof:201008_Slide25Stain6Run_shuffled_6b_Point5_R2C10_segmentation_labels.tiff,11705,2341,,,,0.0157169992308217,91.91739167359984,8.622708661429558,
5383,1,closeness,Piecewise Linear Fit,1.098611073348319,0.2062868088001586,-0.2234651055010755,1.0,0.9649722340879966,,,,2.9297938937592454,0.3340682272566453,2.9202513136436443,0.3329801395145472,2.9200013121916064,0.3329516332288075,tma_controls_mibitof:201008_Slide25Stain6Run_shuffled_6b_Point5_R2C10_segmentation_labels.tiff,11705,2341,,,,0.4125736184611865,0.0479252293430809,0.0343547598303615,
