,Unnamed: 0,measure,best_fit_type,entropy_AIC_weights,observed_half_life,observed_effect_strength,included samples,affected samples,exponential_saturation_a,exponential_saturation_b,exponential_saturation_c,Piecewise Linear Fit_scaled_relative_likelihood_over_Constant Fit,Piecewise Linear Fit_AIC_weight,Exponential Saturation Fit_scaled_relative_likelihood_over_Constant Fit,Exponential Saturation Fit_AIC_weight,Michaelis-Menten Fit_scaled_relative_likelihood_over_Constant Fit,Michaelis-Menten Fit_AIC_weight,piecewise_linear_b,piecewise_linear_m,piecewise_linear_c,constant_c,michaelis_menten_a,michaelis_menten_b,michaelis_menten_c,dataset,num_edges,num_nodes
3855,3,harmonic,Exponential Saturation Fit,1.098611791710933,0.01598416664409,-0.1492752329440522,1.0,0.3276250563316809,0.0077826793811428,43.36461165918679,0.0221768807541518,1.0158968675416136,0.3334508454942022,1.016560339369864,0.3336686188225391,1.0141593522277537,0.3328805356832587,,,,,,,,glioma_mibitof:UCSF_TA7_R98C2_whole_cell.tiff,9242,2219
3856,4,clustering,Piecewise Linear Fit,1.098612283412549,0.1087165893019127,-0.0237746865218722,1.0,0.7688147814330779,,,,1.0009399717904457,0.3333815954787916,1.0007293117931504,0.3333114312651714,1.000715927132456,0.3333069732560369,0.2174331787626882,0.1368687885988791,0.6109919779229526,,,,,glioma_mibitof:UCSF_TA7_R98C2_whole_cell.tiff,9242,2219
3857,5,pagerank,Piecewise Linear Fit,1.098611125881292,0.005623614530363,-0.1200139515353411,1.0,0.0883280757097791,,,,1.0202739674388512,0.333796860200069,1.019602908923038,0.3335773140460578,1.0166946169329425,0.332625825753873,0.0112472291900873,0.0086944421686205,0.0003585099911303,,,,,glioma_mibitof:UCSF_TA7_R98C2_whole_cell.tiff,9242,2219
3858,0,degree,Piecewise Linear Fit,1.098609274390134,0.007666108972457,-0.1572857824187064,1.0,0.0994513031550068,,,,1.0066361247686824,0.3344911126956158,1.0014095361738142,0.3327543903669775,1.00140985689278,0.3327544969374066,0.0153322179449351,72.78781127673203,2.989678599484081,,,,,glioma_mibitof:UCSF_TA7_R2C4_whole_cell.tiff,2935,1458
3859,1,closeness,Michaelis-Menten Fit,1.0986120948670783,0.2360811940747329,-0.2219050041732037,0.9794238683127572,1.0,,,,1.0013207633712569,0.3330398692978895,1.0026440738191913,0.3334800031238742,1.0026444480048315,0.3334801275782362,,,,,5822.066296405116,32781.85567022217,0.1470169484563496,glioma_mibitof:UCSF_TA7_R2C4_whole_cell.tiff,2935,1458
3860,2,betweenness,Piecewise Linear Fit,1.0986121384958665,0.0743962633666765,-0.2989213894950799,1.0,0.5534979423868313,,,,1.001957455908466,0.3335805126974265,1.001039340658064,0.3332748456712086,1.0006482539382318,0.3331446416313648,0.1487925274609068,0.0204510724275206,0.0035684279379674,,,,,glioma_mibitof:UCSF_TA7_R2C4_whole_cell.tiff,2935,1458
3861,3,harmonic,Michaelis-Menten Fit,1.098600927620493,0.2408889421786272,0.2246728419654575,1.0,1.0,,,,0.9988362748344012,0.3310875234106143,1.008998785427375,0.3344561239997546,1.0089994750452085,0.334456352589631,,,,,-4472.820746305611,218922.2426004148,0.0268273329586866,glioma_mibitof:UCSF_TA7_R2C4_whole_cell.tiff,2935,1458
3862,4,clustering,Constant Fit,1.0986122884196363,0.0,-0.0,1.0,0.0,,,,0.9987630910748162,0.3333236403208784,0.998817190159472,0.3333416951569017,0.9987961237315994,0.3333346645222199,,,,0.4777658821897504,,,,glioma_mibitof:UCSF_TA7_R2C4_whole_cell.tiff,2935,1458
3863,5,pagerank,Piecewise Linear Fit,1.098602734291377,0.0061106932884497,-0.0999361992371774,1.0,0.0898491083676268,,,,1.0087113643621868,0.3346098036298604,1.0071594932784078,0.334095016846497,0.9987191317131118,0.3312951795236425,0.0122213866953349,0.0103190214960186,0.0005679098954176,,,,,glioma_mibitof:UCSF_TA7_R2C4_whole_cell.tiff,2935,1458
3864,0,degree,Piecewise Linear Fit,1.0986122886680727,0.2459582087801942,-0.1444762186136948,1.0,0.9994532531437944,,,,1.0139683477655448,0.3333333961843949,1.0139677827163625,0.3333332104293234,1.0139683392539514,0.3333333933862816,0.4919164175766896,3.0177204974257403,4.395173811777597,,,,,glioma_mibitof:UCSF_TA6_R4C3_whole_cell.tiff,4475,1829
