,best_fit_type,entropy_AIC_weights,observed_half_life,observed_effect_strength,included samples,affected samples,scaled_relative_likelihood_over_baseline,piecewise_linear_b,piecewise_linear_m,piecewise_linear_c,dataset,num_edges,num_nodes,exponential_saturation_a,exponential_saturation_b,exponential_saturation_c,michaelis_menten_a,michaelis_menten_b,michaelis_menten_c,constant_c
closeness,Piecewise Linear Fit,0.9999751620516854,0.1944400509060562,-0.2235220765802508,1.0,0.9487074271645466,3.159064588324695,0.3888801022219799,0.09487942351836166,0.06408648505283164,glioma_mibitof:Brainiaqc_R8C4_whole_cell.tiff,36555,2437,,,,,,,
clustering,Exponential Saturation Fit,0.9999895027897134,0.015059984756412268,0.14321709278381203,1.0,0.27041444398851044,1.2414240283309284,,,,glioma_mibitof:Brainiaqc_R8C4_whole_cell.tiff,36555,2437,-0.1898349528238268,46.0257558148905,0.7576699073376404,,,,
degree,Piecewise Linear Fit,0.9999441737240101,0.015962553342570813,-0.0819417034810147,1.0,0.166545981173063,1.119868340671343,0.0319251066851637,144.67498228921767,25.873850884000944,glioma_mibitof:CHOP_907_R11C12_whole_cell.tiff,20715,1381,,,,,,,
pagerank,Piecewise Linear Fit,0.999948809619479,0.015067062798147597,-0.06207668431875161,1.0,0.16292541636495295,1.1098690204055606,0.030134126656130668,0.002843283389936742,0.0006472730843548774,glioma_mibitof:CHOP_907_R11C12_whole_cell.tiff,20715,1381,,,,,,,
betweenness,Piecewise Linear Fit,0.9999925510030682,0.13963237216539226,-0.7958028175067438,1.0,0.7965242577842143,1.1572742676007395,0.2792647451362302,0.03467207771673416,0.0012422535324336386,glioma_mibitof:CHOP_907_R11C12_whole_cell.tiff,20715,1381,,,,,,,
closeness,Piecewise Linear Fit,0.9999797738262732,0.1910585309506088,-0.2024649724355208,1.0,0.9384503982621288,2.9155648498235203,0.38211706223656067,0.11394812962305478,0.08575777462976646,glioma_mibitof:CHOP_907_R11C12_whole_cell.tiff,20715,1381,,,,,,,
clustering,Exponential Saturation Fit,0.9999750375351563,0.022810324764001327,0.15458502997233461,1.0,0.3714699493120927,1.5085962421554535,,,,glioma_mibitof:CHOP_907_R11C12_whole_cell.tiff,20715,1381,-0.20060479930257247,30.38741371034448,0.7491514679690484,,,,
degree,Piecewise Linear Fit,0.999940698162589,0.012720004443506967,-0.08078993533907505,1.0,0.1565217391304348,1.113127275815374,0.025440008887028177,178.96007012575205,25.900068616958766,glioma_mibitof:CHOP_907_R11C8_whole_cell.tiff,22425,1495,,,,,,,
pagerank,Piecewise Linear Fit,0.9999413218798419,0.012081767638637456,-0.06249005818709313,1.0,0.1491638795986622,1.10760809883742,0.024163536010916798,0.0032936418270981386,0.0005969964902032402,glioma_mibitof:CHOP_907_R11C8_whole_cell.tiff,22425,1495,,,,,,,
betweenness,Piecewise Linear Fit,0.999992367743202,0.16893888113779285,-0.7961459480942052,1.0,0.8963210702341137,1.171911891238485,0.33787776334040076,0.0317311215463521,0.0013725926871793696,glioma_mibitof:CHOP_907_R11C8_whole_cell.tiff,22425,1495,,,,,,,
