,data_source,#nodes in ROI,node density in ROI,% new edges,P_MWU,P_fisher,border_size,k,img_size,P_MWU_adj,P_fisher_adj
glioma_mibitof:UCSF_TA4_R5C4_whole_cell.tiff,glioma_mibitof,1818,0.00043685163096081407,2.6182618261826183,1.30032088643054e-80,2.2206944400460517e-64,0.125,5,"(2038, 2042)",1.5505544590769672e-80,2.911515002629647e-64
glioma_mibitof:UCSF_TA4_R5C5_whole_cell.tiff,glioma_mibitof,1069,0.0002566207061942573,3.14312441534144,1.6705273256688827e-73,1.1480639853264874e-49,0.125,5,"(2041, 2041)",1.9379854524754533e-73,1.3837915191719876e-49
glioma_mibitof:UCSF_TA4_R6C1_whole_cell.tiff,glioma_mibitof,508,0.00012182946608716131,5.31496062992126,1.5449689146247043e-68,1.7568144010856668e-34,0.125,5,"(2043, 2041)",1.7564389954033315e-68,1.9237487288185616e-34
glioma_mibitof:UCSF_TA4_R6C2_whole_cell.tiff,glioma_mibitof,1447,0.0003473621719954072,3.303386316516931,1.0966802608346134e-104,3.860586267129974e-46,0.125,5,"(2041, 2041)",1.4396521456857914e-104,4.5496644951875124e-46
glioma_mibitof:UCSF_TA4_R6C3_whole_cell.tiff,glioma_mibitof,929,0.00022312207587591628,3.982777179763186,7.490247945781048e-91,6.261206852975e-44,0.125,5,"(2041, 2040)",9.330691796838538e-91,7.274460194137249e-44
glioma_mibitof:UCSF_TA4_R6C4_whole_cell.tiff,glioma_mibitof,384,9.204651033461783e-05,4.739583333333333,9.1891271734159e-36,7.122996345036974e-20,0.125,5,"(2044, 2041)",9.409063659861593e-36,7.274400780101527e-20
glioma_mibitof:UCSF_TA4_R6C5_whole_cell.tiff,glioma_mibitof,1340,0.00032088952492066367,3.582089552238806,1.1263616114204715e-95,1.2243046548114927e-59,0.125,5,"(2044, 2043)",1.4334259627001355e-95,1.5625269460467067e-59
glioma_mibitof:UCSF_TA4_R7C3_whole_cell.tiff,glioma_mibitof,1171,0.00028069378106268604,3.7916310845431256,2.599392545544149e-109,6.580119849267994e-47,0.125,5,"(2043, 2042)",3.458842317739402e-109,7.801713853175378e-47
glioma_mibitof:UCSF_TA4_R7C4_whole_cell.tiff,glioma_mibitof,1410,0.0003393108188171673,2.9078014184397163,2.227178409428242e-49,7.365040699579744e-49,0.125,5,"(2039, 2038)",2.380382673731827e-49,8.832957797537458e-49
glioma_mibitof:UCSF_TA4_R7C5_whole_cell.tiff,glioma_mibitof,996,0.00023897947127951433,3.032128514056225,6.660248887790848e-75,1.4489566335737105e-48,0.125,5,"(2042, 2041)",7.772779251334388e-75,1.735746669217759e-48
glioma_mibitof:UCSF_TA4_R98C2_whole_cell.tiff,glioma_mibitof,1087,0.0002605586165799656,2.980680772769089,3.3752666448107515e-72,1.7913672663019318e-41,0.125,5,"(2043, 2042)",3.891088125413059e-72,2.0454990759272152e-41
glioma_mibitof:UCSF_TA4_R98C3_whole_cell.tiff,glioma_mibitof,5646,0.0013527085797087005,1.8738930216082181,1.18323624254592e-265,2.905065237952014e-187,0.125,5,"(2042, 2044)",2.6835488638132953e-265,6.821442660243714e-187
glioma_mibitof:UCSF_TA4_R99C1_whole_cell.tiff,glioma_mibitof,4194,0.0010053199981015417,1.859799713876967,4.660627201854245e-194,3.55922438762098e-131,0.125,5,"(2043, 2042)",8.200078169797637e-194,6.337205109772133e-131
glioma_mibitof:UCSF_TA4_R99C2_whole_cell.tiff,glioma_mibitof,6541,0.0015694447510338997,1.7000458645467054,3.482162856014817e-280,4.0104418873496735e-219,0.125,5,"(2044, 2039)",8.476067497532559e-280,1.1113229826258235e-218
glioma_mibitof:UCSF_TA4_R99C3_whole_cell.tiff,glioma_mibitof,5441,0.0013035932309945163,2.0290387796360965,1.2841635409491396e-286,6.3912884941523e-180,0.125,5,"(2044, 2042)",3.198120206047977e-286,1.4277535026636362e-179
glioma_mibitof:UCSF_TA5_R1C2_whole_cell.tiff,glioma_mibitof,475,0.00011419477060073662,4.8,3.312356204235516e-42,1.3260510506816474e-22,0.125,5,"(2040, 2039)",3.4389921628415946e-42,1.3676543696429277e-22
glioma_mibitof:UCSF_TA5_R1C4_whole_cell.tiff,glioma_mibitof,961,0.00023035598029054097,3.0385015608740895,4.7505489968346325e-62,4.1695999014497854e-44,0.125,5,"(2041, 2044)",5.260980325217928e-62,4.849780444032655e-44
glioma_mibitof:UCSF_TA5_R1C5_whole_cell.tiff,glioma_mibitof,4037,0.0009681605405391146,2.145157295021055,1.4637941425978478e-209,2.157650842169021e-124,0.125,5,"(2043, 2041)",2.721088754364928e-209,3.7146326240870195e-124
glioma_mibitof:UCSF_TA5_R2C2_whole_cell.tiff,glioma_mibitof,2208,0.0005295263712766478,2.4728260869565215,1.52994315601659e-127,5.7191497548977326e-58,0.125,5,"(2042, 2042)",2.168866307870999e-127,7.219444092378988e-58
glioma_mibitof:UCSF_TA5_R2C3_whole_cell.tiff,glioma_mibitof,1033,0.00024785734166402735,3.814133591481123,4.605446900563553e-90,1.2974669963786035e-44,0.125,5,"(2043, 2040)",5.721086185544939e-90,1.5130655077260561e-44
glioma_mibitof:UCSF_TA5_R2C4_whole_cell.tiff,glioma_mibitof,628,0.0001523983693374481,3.5987261146496814,1.1408026254373346e-46,8.539812269969446e-46,0.125,5,"(2019, 2041)",1.2044376603248126e-46,1.003757384987376e-45
glioma_mibitof:UCSF_TA5_R2C5_whole_cell.tiff,glioma_mibitof,887,0.00021272192208526,3.7655016910935735,1.763618854963683e-84,2.451475394876548e-39,0.125,5,"(2043, 2041)",2.1339719814225424e-84,2.7658806568639666e-39
glioma_mibitof:UCSF_TA5_R2C6_whole_cell.tiff,glioma_mibitof,699,0.00016788275587109293,4.234620886981403,9.355480906902979e-66,4.0004773614552235e-36,0.125,5,"(2045, 2036)",1.0521125989289882e-65,4.42247461940696e-36
glioma_mibitof:UCSF_TA5_R3C1_whole_cell.tiff,glioma_mibitof,711,0.00017068041712277467,4.556962025316456,1.044563439510768e-77,2.2414688562375414e-35,0.125,5,"(2042, 2040)",1.228227267165711e-77,2.462225549781865e-35
glioma_mibitof:UCSF_TA5_R3C2_whole_cell.tiff,glioma_mibitof,2429,0.0005825271124521945,2.2972416632358996,8.000659366872138e-135,1.3535291712523193e-71,0.125,5,"(2043, 2041)",1.168665070287263e-134,1.831486829211869e-71
glioma_mibitof:UCSF_TA5_R3C3_whole_cell.tiff,glioma_mibitof,3332,0.0007994775083366884,2.2148859543817525,1.1714577593128802e-160,9.264548521408406e-93,0.125,5,"(2042, 2041)",1.8742123884908425e-160,1.3771149468043052e-92
glioma_mibitof:UCSF_TA5_R3C4_whole_cell.tiff,glioma_mibitof,4376,0.0010489461878141026,1.9241316270566726,3.254670488120324e-194,3.875062233321319e-133,0.125,5,"(2043, 2042)",5.736081227087908e-194,6.9590680590353534e-133
glioma_mibitof:UCSF_TA5_R3C5_whole_cell.tiff,glioma_mibitof,845,0.0002026493585728113,3.5502958579881656,1.3539779786764676e-67,1.5899754431223582e-48,0.125,5,"(2042, 2042)",1.5342791100894806e-67,1.9039468208861674e-48
glioma_mibitof:UCSF_TA5_R3C6_whole_cell.tiff,glioma_mibitof,653,0.00015675723297797693,4.196018376722818,6.149740640731259e-61,6.707226748979767e-33,0.125,5,"(2043, 2039)",6.788844121952535e-61,7.278203313781727e-33
glioma_mibitof:UCSF_TA5_R4C1_whole_cell.tiff,glioma_mibitof,1066,0.0002557753399940495,3.9399624765478425,2.982279385798674e-98,1.6445684416357588e-51,0.125,5,"(2043, 2040)",3.8217720647719574e-98,2.002334207886345e-51
glioma_mibitof:UCSF_TA5_R4C2_whole_cell.tiff,glioma_mibitof,2844,0.0006823871649788542,2.20112517580872,2.216145044719899e-151,6.900928763798517e-88,0.125,5,"(2041, 2042)",3.417788135634689e-151,1.0047366214145813e-87
glioma_mibitof:UCSF_TA5_R4C3_whole_cell.tiff,glioma_mibitof,1725,0.0004136925767723489,2.9101449275362317,4.2355403361301204e-99,3.301147711257893e-61,0.125,5,"(2041, 2043)",5.452428882825378e-99,4.239097163757566e-61
glioma_mibitof:UCSF_TA5_R4C4_whole_cell.tiff,glioma_mibitof,732,0.00018049709195019957,3.087431693989071,3.698425052940205e-40,1.1616833475946843e-14,0.125,5,"(2041, 1987)",3.819504444554318e-40,1.1695477416306252e-14
glioma_mibitof:UCSF_TA5_R4C5_whole_cell.tiff,glioma_mibitof,772,0.00018505174976976398,3.0310880829015545,3.6335982150540074e-60,1.5824929632378244e-46,0.125,5,"(2043, 2042)",4.0055514386211316e-60,1.8727266101522266e-46
glioma_mibitof:UCSF_TA5_R4C6_whole_cell.tiff,glioma_mibitof,930,0.00022347179533635988,3.032258064516129,3.377659693939414e-63,3.8687585370652955e-39,0.125,5,"(2041, 2039)",3.7565638262723614e-63,4.3570619946826244e-39
glioma_mibitof:UCSF_TA5_R5C1_whole_cell.tiff,glioma_mibitof,696,0.00016716150635573987,4.7988505747126435,3.579909803403883e-79,1.6248320687165426e-43,0.125,5,"(2042, 2039)",4.2477425212881176e-79,1.8773032003706115e-43
glioma_mibitof:UCSF_TA5_R5C2_whole_cell.tiff,glioma_mibitof,1000,0.0003557240264544844,3.9,5.513451903107599e-94,3.2149721485758543e-41,0.125,5,"(2043, 1376)",6.965416785358023e-94,3.664364240876786e-41
glioma_mibitof:UCSF_TA5_R5C3_whole_cell.tiff,glioma_mibitof,4332,0.0010389079667117772,1.9344413665743305,1.6446600742105517e-201,2.183747402465303e-122,0.125,5,"(2043, 2041)",2.9706613139152994e-201,3.7124894599342086e-122
glioma_mibitof:UCSF_TA5_R5C4_whole_cell.tiff,glioma_mibitof,2767,0.0006632619062343743,2.7466570292735812,2.910235852286589e-168,5.454319523482695e-109,0.125,5,"(2043, 2042)",4.765949956314115e-168,8.712961571271843e-109
glioma_mibitof:UCSF_TA5_R5C5_whole_cell.tiff,glioma_mibitof,2221,0.0005321227480917494,2.269248086447546,4.376212811543382e-112,1.5846076612101073e-84,0.125,5,"(2043, 2043)",5.888372516350703e-112,2.2742324108268225e-84
glioma_mibitof:UCSF_TA5_R5C6_whole_cell.tiff,glioma_mibitof,1040,0.00024941465498159006,2.7884615384615388,7.318912138506833e-65,2.407702532704809e-34,0.125,5,"(2043, 2041)",8.21011587951036e-65,2.6309499683824766e-34
glioma_mibitof:UCSF_TA5_R6C1_whole_cell.tiff,glioma_mibitof,735,0.00017635533272132835,4.244897959183674,9.193265848032348e-84,4.575707525507051e-58,0.125,5,"(2042, 2041)",1.1093728455720643e-83,5.785398624355676e-58
glioma_mibitof:UCSF_TA5_R6C2_whole_cell.tiff,glioma_mibitof,1065,0.00030199623766565133,2.2347417840375585,5.610711461556472e-64,1.4450359515500103e-46,0.125,5,"(2042, 1727)",6.26018288475915e-64,1.710707838017696e-46
glioma_mibitof:UCSF_TA5_R6C5_whole_cell.tiff,glioma_mibitof,1922,0.0004609373576058501,2.2996878251821022,6.116502068205428e-90,4.377723879946802e-55,0.125,5,"(2042, 2042)",7.59214465779235e-90,5.444696008392618e-55
glioma_mibitof:UCSF_TA5_R6C6_whole_cell.tiff,glioma_mibitof,1113,0.000267314177018186,3.557951482479784,5.031708578934367e-86,1.441151165071106e-48,0.125,5,"(2041, 2040)",6.133499567530066e-86,1.72705874463433e-48
glioma_mibitof:UCSF_TA5_R7C1_whole_cell.tiff,glioma_mibitof,964,0.00023130152697398097,3.568464730290456,3.3784490027268107e-82,5.954258201742648e-38,0.125,5,"(2043, 2040)",4.0580370136599344e-82,6.667317448563029e-38
glioma_mibitof:UCSF_TA5_R7C2_whole_cell.tiff,glioma_mibitof,987,0.0002369361064700121,3.546099290780142,1.7650476811572601e-78,3.750080589059726e-46,0.125,5,"(2042, 2040)",2.0840241619108218e-78,4.421102936818998e-46
glioma_mibitof:UCSF_TA5_R7C5_whole_cell.tiff,glioma_mibitof,1048,0.00025157957404313343,2.519083969465649,4.5970257299976634e-42,8.977201687111683e-35,0.125,5,"(2042, 2040)",4.7711902142847134e-42,9.837123111877118e-35
glioma_mibitof:UCSF_TA5_R8C1_whole_cell.tiff,glioma_mibitof,1386,0.0003320675951621633,2.857142857142857,2.503618803546112e-87,6.3480560210736244e-62,0.125,5,"(2043, 2043)",3.0698082149487663e-87,8.181997091957462e-62
glioma_mibitof:UCSF_TA5_R98C2_whole_cell.tiff,glioma_mibitof,1332,0.0003191298966493517,3.423423423423423,7.842504040310776e-96,7.182842947070797e-59,0.125,5,"(2043, 2043)",9.984565885809439e-96,9.122415015738958e-59
glioma_mibitof:UCSF_TA5_R99C1_whole_cell.tiff,glioma_mibitof,4274,0.0010244963452279421,1.899859616284511,3.6876427625608455e-192,2.9622945447347647e-130,0.125,5,"(2043, 2042)",6.4518254047493115e-192,5.24447044399471e-130
glioma_mibitof:UCSF_TA5_R99C2_whole_cell.tiff,glioma_mibitof,6172,0.0014794558900657845,1.814646791963707,4.6299176445537746e-266,6.389138984119392e-218,0.125,5,"(2044, 2041)",1.0531123673664558e-265,1.7533638881726591e-217
glioma_mibitof:UCSF_TA5_R99C3_whole_cell.tiff,glioma_mibitof,5076,0.0012179315223040308,1.8873128447596532,4.9883854874920205e-250,2.8761912624258964e-161,0.125,5,"(2042, 2041)",1.0781126558780332e-249,5.859325057114204e-161
glioma_mibitof:UCSF_TA6_R1C2_whole_cell.tiff,glioma_mibitof,1287,0.00030849948439596664,3.1701631701631703,1.4117317810555772e-91,3.296097629210475e-39,0.125,5,"(2043, 2042)",1.764241037309551e-91,3.714800756414404e-39
glioma_mibitof:UCSF_TA6_R1C4_whole_cell.tiff,glioma_mibitof,1805,0.00043309030688707165,3.412742382271468,1.0383973386436586e-92,6.021711706771354e-66,0.125,5,"(2042, 2041)",1.3023754572627092e-92,7.931592433676481e-66
glioma_mibitof:UCSF_TA6_R1C5_whole_cell.tiff,glioma_mibitof,550,0.00013203136008864825,5.2,4.1830531158570323e-47,1.7099837871664976e-22,0.125,5,"(2043, 2039)",4.423865520088558e-47,1.7630503028461446e-22
glioma_mibitof:UCSF_TA6_R1C6_whole_cell.tiff,glioma_mibitof,1439,0.00034442852749025534,3.015983321751216,7.666153765533304e-96,6.458609067829759e-53,0.125,5,"(2045, 2043)",9.76402863367068e-96,7.944165466259289e-53
glioma_mibitof:UCSF_TA6_R2C1_whole_cell.tiff,glioma_mibitof,600,0.0001439636060004031,2.5,6.770936704712409e-36,2.302789592222205e-22,0.125,5,"(2043, 2040)",6.937544399218128e-36,2.3734692727755595e-22
glioma_mibitof:UCSF_TA6_R2C2_whole_cell.tiff,glioma_mibitof,1262,0.00030310017196491534,3.3914421553090333,2.729406924698156e-107,5.965776151458366e-49,0.125,5,"(2041, 2040)",3.614901537672749e-107,7.163059946560737e-49
glioma_mibitof:UCSF_TA6_R2C3_whole_cell.tiff,glioma_mibitof,949,0.00022747952684258417,2.8661749209694416,1.3736102618183576e-72,1.6092215984752199e-46,0.125,5,"(2044, 2041)",1.5858724020919524e-72,1.902915203346502e-46
glioma_mibitof:UCSF_TA6_R2C4_whole_cell.tiff,glioma_mibitof,940,0.00022565343473334487,3.8085106382978724,3.554041940894133e-74,6.090825687979735e-38,0.125,5,"(2042, 2040)",4.135347608573911e-74,6.817795205577317e-38
glioma_mibitof:UCSF_TA6_R2C5_whole_cell.tiff,glioma_mibitof,2087,0.0004997734615741978,2.5778629611883086,1.1006005360239907e-115,2.7129263499242582e-70,0.125,5,"(2044, 2043)",1.4950741513714321e-115,3.645640701726962e-70
glioma_mibitof:UCSF_TA6_R2C6_whole_cell.tiff,glioma_mibitof,948,0.0002273510508870648,5.063291139240507,6.50118951166574e-85,1.4952463301846046e-43,0.125,5,"(2043, 2041)",7.890872462080103e-85,1.7282214245619985e-43
glioma_mibitof:UCSF_TA6_R3C1_whole_cell.tiff,glioma_mibitof,1441,0.00034558319021968397,2.5537820957668282,4.610892813801503e-90,7.661112388966668e-46,0.125,5,"(2043, 2041)",5.725573859841787e-90,9.011545759225198e-46
glioma_mibitof:UCSF_TA6_R3C2_whole_cell.tiff,glioma_mibitof,947,0.00022733377807854227,3.6325237592397044,1.129753539212672e-82,3.324240702515798e-49,0.125,5,"(2041, 2041)",1.3585753958264053e-82,3.995998350252824e-49
glioma_mibitof:UCSF_TA6_R3C3_whole_cell.tiff,glioma_mibitof,921,0.00022109251389390008,4.1042345276872965,9.034378983957234e-83,5.87525884902203e-47,0.125,5,"(2043, 2039)",1.0872587887051423e-82,6.971289280203571e-47
glioma_mibitof:UCSF_TA6_R3C4_whole_cell.tiff,glioma_mibitof,1157,0.0002772022364015173,3.5263612791702683,9.557951160412055e-97,1.6880769300820708e-47,0.125,5,"(2044, 2042)",1.2198398640771086e-96,2.0098605614358776e-47
glioma_mibitof:UCSF_TA6_R3C5_whole_cell.tiff,glioma_mibitof,2545,0.0006103468784774184,2.0353634577603144,8.028088763391708e-112,2.9527976229676825e-83,0.125,5,"(2044, 2040)",1.079282014983741e-111,4.2223383592161504e-83
glioma_mibitof:UCSF_TA6_R3C6_whole_cell.tiff,glioma_mibitof,2464,0.0005906314914931327,2.199675324675325,3.675943619115612e-116,1.1948168381333895e-81,0.125,5,"(2043, 2042)",4.999987771122847e-116,1.6953262087644596e-81
glioma_mibitof:UCSF_TA6_R4C1_whole_cell.tiff,glioma_mibitof,1994,0.00047750277066552487,2.5275827482447344,9.672658612413369e-115,2.0986372799086943e-64,0.125,5,"(2044, 2043)",1.3110986478544685e-114,2.7538000946028792e-64
glioma_mibitof:UCSF_TA6_R4C2_whole_cell.tiff,glioma_mibitof,1076,0.00025792199250012705,3.382899628252788,6.723741870391356e-90,1.4100782348184228e-39,0.125,5,"(2044, 2041)",8.342568876135164e-90,1.594378829593749e-39
glioma_mibitof:UCSF_TA6_R4C3_whole_cell.tiff,glioma_mibitof,1018,0.00024401901718344526,3.81139489194499,3.080832488842641e-93,6.263185318293755e-47,0.125,5,"(2043, 2042)",3.874925438040906e-93,7.428761013684541e-47
glioma_mibitof:UCSF_TA6_R4C4_whole_cell.tiff,glioma_mibitof,1056,0.0002683424517250405,2.878787878787879,1.0771537728074684e-71,6.61768739788409e-45,0.125,5,"(1930, 2039)",1.2394809257471348e-71,7.734669814218567e-45
glioma_mibitof:UCSF_TA6_R4C5_whole_cell.tiff,glioma_mibitof,1020,0.0002444985430763286,3.705882352941176,4.2903600476672623e-75,1.84568940601702e-40,0.125,5,"(2044, 2041)",5.010768298004809e-75,2.0960320054513286e-40
glioma_mibitof:UCSF_TA6_R4C6_whole_cell.tiff,glioma_mibitof,4579,0.0010976066948495183,1.8999781611705613,6.464539379372502e-198,1.1305009126604764e-131,0.125,5,"(2044, 2041)",1.1503564946883376e-197,2.022081529346316e-131
glioma_mibitof:UCSF_TA6_R5C1_whole_cell.tiff,glioma_mibitof,1120,0.00026886386054415643,3.75,2.9301255860139074e-104,3.247103168117111e-61,0.125,5,"(2043, 2039)",3.8384153544972456e-104,4.173128886431991e-61
glioma_mibitof:UCSF_TA6_R5C2_whole_cell.tiff,glioma_mibitof,1058,0.00025373162963815665,4.196597353497165,4.3214472687930694e-113,7.421744471128307e-60,0.125,5,"(2044, 2040)",5.837318261436312e-113,9.47592313300642e-60
glioma_mibitof:UCSF_TA6_R5C3_whole_cell.tiff,glioma_mibitof,1121,0.00026897187480354976,3.5504014272970563,1.3955644353833155e-83,9.408737317074046e-40,0.125,5,"(2042, 2041)",1.6827597419699203e-83,1.0657775350461461e-39
glioma_mibitof:UCSF_TA6_R5C4_whole_cell.tiff,glioma_mibitof,741,0.00018530675019224637,1.808367071524966,4.0822550907049836e-39,5.879289696861718e-24,0.125,5,"(2035, 1965)",4.211722050965201e-39,6.100007217042905e-24
glioma_mibitof:UCSF_TA6_R5C5_whole_cell.tiff,glioma_mibitof,1532,0.00036704738648843946,3.4073107049608358,1.2860270198236662e-113,9.439152539462187e-64,0.125,5,"(2044, 2042)",1.7386417242031643e-113,1.2334089280644522e-63
glioma_mibitof:UCSF_TA6_R5C6_whole_cell.tiff,glioma_mibitof,1021,0.0002446185711256647,3.0558276199804113,5.037274726326734e-63,2.5407705249274583e-47,0.125,5,"(2045, 2041)",5.60035919199658e-63,3.0227909902279815e-47
glioma_mibitof:UCSF_TA6_R6C2_whole_cell.tiff,glioma_mibitof,1128,0.00027104966144023005,2.9432624113475176,2.5288100225074233e-52,2.1764121523515694e-43,0.125,5,"(2041, 2039)",2.7232667932036836e-52,2.511801608201756e-43
glioma_mibitof:UCSF_TA6_R6C3_whole_cell.tiff,glioma_mibitof,1211,0.0002902823721175512,3.253509496284063,4.472285743703466e-91,5.307459574534938e-56,0.125,5,"(2045, 2040)",5.57785478338096e-91,6.627427529497245e-56
glioma_mibitof:UCSF_TA6_R6C4_whole_cell.tiff,glioma_mibitof,2642,0.0006326791976420846,2.6040878122634368,9.333269707538728e-153,6.34976174449732e-84,0.125,5,"(2043, 2044)",1.4523069903658918e-152,9.104823658432107e-84
glioma_mibitof:UCSF_TA6_R6C5_whole_cell.tiff,glioma_mibitof,806,0.00019339111072720817,3.6972704714640194,5.192972292541369e-69,6.0371630245920264e-37,0.125,5,"(2043, 2040)",5.91453408811331e-69,6.7215900626741175e-37
glioma_mibitof:UCSF_TA6_R6C6_whole_cell.tiff,glioma_mibitof,1018,0.00024413857574159492,3.280943025540275,9.454897931314025e-80,4.6334714140850325e-48,0.125,5,"(2043, 2041)",1.1240063281116748e-79,5.535704371150557e-48
glioma_mibitof:UCSF_TA6_R7C4_whole_cell.tiff,glioma_mibitof,1132,0.0002710798076195457,4.063604240282685,1.4543528949739618e-105,6.828868439133554e-51,0.125,5,"(2044, 2043)",1.9180507141062852e-105,8.278942599151433e-51
glioma_mibitof:UCSF_TA6_R7C6_whole_cell.tiff,glioma_mibitof,846,0.00020278987086168437,3.806146572104019,2.110828004677416e-71,9.293091193909168e-42,0.125,5,"(2043, 2042)",2.4280353070377793e-71,1.0626995166085072e-41
glioma_mibitof:UCSF_TA6_R98C2_whole_cell.tiff,glioma_mibitof,1176,0.0002818923027580861,3.537414965986395,1.4280826248781426e-79,1.17608939794291e-27,0.125,5,"(2043, 2042)",1.695780242393323e-79,1.2425328788145155e-27
glioma_mibitof:UCSF_TA6_R98C3_whole_cell.tiff,glioma_mibitof,6274,0.0015039050233879524,1.7213898629263629,1.5741070192255295e-275,3.932683877620672e-202,0.125,5,"(2043, 2042)",3.7241941068494916e-275,9.993304922546264e-202
glioma_mibitof:UCSF_TA6_R99C1_whole_cell.tiff,glioma_mibitof,4398,0.0010542201886761698,1.937244201909959,2.4175916174040192e-198,8.063978573415032e-143,0.125,5,"(2044, 2041)",4.309439852256137e-198,1.5152710640658931e-142
glioma_mibitof:UCSF_TA6_R99C2_whole_cell.tiff,glioma_mibitof,7087,0.0017029544710184157,1.7017073514886412,0.0,8.831203685925986e-272,0.125,5,"(2043, 2037)",0.0,3.0508682645073954e-271
glioma_mibitof:UCSF_TA6_R99C3_whole_cell.tiff,glioma_mibitof,5594,0.0013395940316464122,1.83410797282803,1.0538433649282576e-259,3.9908889044945493e-203,0.125,5,"(2043, 2044)",2.3441259463468294e-259,1.01993011855454e-202
glioma_mibitof:UCSF_TA7_R1C1_whole_cell.tiff,glioma_mibitof,3471,0.0008328290610554159,2.1204263900893117,1.0172248666054429e-190,6.2214153335435615e-87,0.125,5,"(2042, 2041)",1.7717753811538193e-190,8.982653761745974e-87
glioma_mibitof:UCSF_TA7_R1C6_whole_cell.tiff,glioma_mibitof,1382,0.0003312718730523994,3.198263386396527,3.9072606703743484e-94,5.432007390158278e-54,0.125,5,"(2045, 2040)",4.944236253476131e-94,6.73180915851758e-54
glioma_mibitof:UCSF_TA7_R2C1_whole_cell.tiff,glioma_mibitof,1768,0.0004244205027750571,3.088235294117647,2.9119056504143785e-102,1.3436834690010262e-75,0.125,5,"(2042, 2040)",3.779668057458065e-102,1.8592483268454608e-75
glioma_mibitof:UCSF_TA7_R2C2_whole_cell.tiff,glioma_mibitof,2173,0.0005211327358413416,2.531063046479521,8.331456900857648e-127,1.2283394707939146e-71,0.125,5,"(2043, 2041)",1.1768041565526204e-126,1.6635317290934064e-71
glioma_mibitof:UCSF_TA7_R2C4_whole_cell.tiff,glioma_mibitof,751,0.0001804596121295772,4.8202396804260985,2.0269493962265975e-69,8.070766759601513e-34,0.125,5,"(2042, 2038)",2.3111219293229878e-69,8.794488691638354e-34
glioma_mibitof:UCSF_TA7_R2C5_whole_cell.tiff,glioma_mibitof,965,0.00023188202419310462,3.689119170984456,3.1552204390310513e-83,4.886576650373901e-54,0.125,5,"(2041, 2039)",3.798671330414022e-83,6.058268709455217e-54
glioma_mibitof:UCSF_TA7_R2C6_whole_cell.tiff,glioma_mibitof,1415,0.0003398468647625635,3.2084805653710244,1.3706327644050724e-80,2.2703862441473157e-50,0.125,5,"(2040, 2041)",1.6337733294797865e-80,2.746094593521327e-50
glioma_mibitof:UCSF_TA7_R3C1_whole_cell.tiff,glioma_mibitof,1292,0.0003096980060913667,3.0959752321981426,4.804891356302284e-67,2.2099057384594627e-35,0.125,5,"(2043, 2042)",5.432902138208556e-67,2.4284080299820204e-35
glioma_mibitof:UCSF_TA7_R3C2_whole_cell.tiff,glioma_mibitof,1695,0.00040629885474060873,2.855457227138643,2.8392654920987906e-115,6.795820262980858e-49,0.125,5,"(2043, 2042)",3.855228752967184e-115,8.153417856814913e-49
glioma_mibitof:UCSF_TA7_R3C3_whole_cell.tiff,glioma_mibitof,430,0.00010322451788748863,5.8604651162790695,1.3436726918245204e-64,7.269972227137665e-42,0.125,5,"(2043, 2039)",1.5035076376094507e-64,8.322625830407232e-42
glioma_mibitof:UCSF_TA7_R3C4_whole_cell.tiff,glioma_mibitof,1104,0.00026528258362168395,4.221014492753623,1.5765997750807897e-104,3.4871804065550415e-67,0.125,5,"(2040, 2040)",2.0670533575051665e-104,4.6244010232150295e-67
glioma_mibitof:UCSF_TA7_R3C5_whole_cell.tiff,glioma_mibitof,2977,0.0007142994251053334,2.2505878401074906,2.6446518045718325e-151,3.697428754930616e-103,0.125,5,"(2043, 2040)",4.074616470487337e-151,5.764887669320176e-103
glioma_mibitof:UCSF_TA7_R3C6_whole_cell.tiff,glioma_mibitof,1482,0.00035489423577046535,3.468286099865047,3.761012816341702e-110,5.6914744971606355e-50,0.125,5,"(2044, 2043)",5.023799412076619e-110,6.865382330873954e-50
glioma_mibitof:UCSF_TA7_R4C1_whole_cell.tiff,glioma_mibitof,2796,0.0006702133320676944,2.088698140200286,7.798012021493938e-142,1.963773424970584e-92,0.125,5,"(2043, 2042)",1.1641104944132681e-141,2.9162455569106677e-92
glioma_mibitof:UCSF_TA7_R4C2_whole_cell.tiff,glioma_mibitof,2603,0.0006236449857194163,2.212831348444103,3.0027955828308344e-111,1.1507855344517071e-57,0.125,5,"(2043, 2043)",4.026505197587246e-111,1.4497390980607832e-57
glioma_mibitof:UCSF_TA7_R4C3_whole_cell.tiff,glioma_mibitof,692,0.00016603802558713156,4.4508670520231215,2.120953384126564e-58,3.49646572041278e-32,0.125,5,"(2043, 2040)",2.3306605976872832e-58,3.7862213747743104e-32
glioma_mibitof:UCSF_TA7_R4C4_whole_cell.tiff,glioma_mibitof,2142,0.0005136982605486211,2.427637721755369,6.34409778833682e-131,8.93590841425876e-83,0.125,5,"(2043, 2041)",9.09670220063172e-131,1.2737034220780514e-82
glioma_mibitof:UCSF_TA7_R4C5_whole_cell.tiff,glioma_mibitof,2409,0.0005777306767794716,2.1419676214196763,3.143564863278998e-132,1.9720824555941075e-89,0.125,5,"(2043, 2041)",4.5492831640501906e-132,2.888749300572419e-89
