,data_source,#nodes in ROI,node density in ROI,% new edges,P_MWU,P_fisher,border_size,k,img_size,P_MWU_adj,P_fisher_adj
glioma_mibitof:CHOP_907_R9C14_whole_cell.tiff,glioma_mibitof,356,0.00034184160442780903,9.044943820224718,2.0376455304568737e-125,9.405407050236267e-103,0.125,10,"(1022, 1019)",2.866471617845413e-125,1.462074973513582e-102
glioma_mibitof:CHOP_907_R9C1_whole_cell.tiff,glioma_mibitof,795,0.0007648805343195642,4.918238993710692,2.817684260677042e-185,1.2470608074193275e-115,0.125,10,"(1021, 1018)",4.8376184420529974e-185,2.039042356843225e-115
glioma_mibitof:CHOP_907_R9C2_whole_cell.tiff,glioma_mibitof,225,0.00021605116091490465,9.422222222222222,3.503758807383096e-101,6.94765221881847e-54,0.125,10,"(1021, 1020)",4.538464850874081e-101,8.589674536567727e-54
glioma_mibitof:CHOP_907_R9C3_whole_cell.tiff,glioma_mibitof,304,0.0002921953094963476,7.828947368421052,3.7300273908785954e-115,1.489622668059871e-98,0.125,10,"(1020, 1020)",5.062527397528837e-115,2.2726387847342342e-98
glioma_mibitof:CHOP_907_R9C4_whole_cell.tiff,glioma_mibitof,533,0.000511801194522863,7.711069418386492,1.805177095709745e-198,1.7708040422140142e-140,0.125,10,"(1020, 1021)",3.2233093595777782e-198,3.295721706695093e-140
glioma_mibitof:CHOP_907_R9C5_whole_cell.tiff,glioma_mibitof,263,0.0002636432896266891,3.041825095057034,3.4321973591952377e-44,2.4265247719939736e-35,0.125,10,"(1020, 978)",3.593279367337153e-44,2.664569923676927e-35
glioma_mibitof:CHOP_907_R9C6_whole_cell.tiff,glioma_mibitof,131,0.00012665754603421688,11.374045801526718,1.1869846914743328e-77,1.352940093316429e-36,0.125,10,"(1019, 1015)",1.3951649196365605e-77,1.5004374685465936e-36
glioma_mibitof:CHOP_907_R9C7_whole_cell.tiff,glioma_mibitof,859,0.0008272660734234755,5.436554132712457,2.6032560415370823e-260,1.3981688902165e-184,0.125,10,"(1020, 1018)",5.8029754587582496e-260,3.215376615718799e-184
glioma_mibitof:CHOP_907_R9C8_whole_cell.tiff,glioma_mibitof,671,0.0006449442522106881,6.3040238450074515,3.504922564609669e-224,4.693037167949356e-155,0.125,10,"(1020, 1020)",6.866921687124213e-224,9.276174098421418e-155
glioma_mibitof:CHOP_907_R9C9_whole_cell.tiff,glioma_mibitof,228,0.00021914648212226066,9.780701754385964,1.2054085205316154e-91,3.473333633948423e-52,0.125,10,"(1020, 1020)",1.5070019253884048e-91,4.247149936891513e-52
glioma_mibitof:CHOP_941_R1C1_whole_cell.tiff,glioma_mibitof,324,0.00040504303582255613,6.512345679012347,3.7221702277855666e-105,1.8570834472081948e-55,0.125,10,"(785, 1019)",4.904783806487057e-105,2.313391147040763e-55
