,original vs. on crop,original vs. corrected on crop,original vs. SERN corrected on crop,on crop vs. SERN values,model,relative_likelihood,cap_radius,graph_type,coord_type,n,k,radius_factor
clustering,0.9884009910517054,0.9904067127661395,0.6121854669782746,0.1820494617644,exp,1.001822601890413,2,delaunay,"kappa=1,3,5",5000,,
degree,0.9613277283388756,0.9692081692371814,0.21162675910881892,0.2893394191439178,pieli,1.0134566203135555,1,knn,"kappa=1,3,5",5000,5.0,
pagerank,0.9580658978044957,0.965701991858046,0.10270391548625932,0.47222319408695096,pieli,1.010982028264876,1,knn,"kappa=1,3,5",5000,5.0,
betweenness,0.6484766487696032,0.6996552223465604,0.6681800080915766,0.1747878562208221,pieli,1.0330387197318527,1,knn,"kappa=1,3,5",5000,5.0,
closeness,-0.06493607973148274,-0.16393845370051668,-0.12995643115285718,0.029461890620946424,pieli,1.0158024008910136,1,knn,"kappa=1,3,5",5000,5.0,
harmonic,0.07043455650791877,0.5072383833703145,0.23420570132230795,0.5918638664569922,exp,1.3514229173877208,1,knn,"kappa=1,3,5",5000,5.0,
clustering,0.9395988186195021,0.9589418679667094,0.47416081682143824,0.15674212337177906,exp,1.011322813834013,1,knn,"kappa=1,3,5",5000,5.0,
degree,0.9834794766167414,0.986827174605247,0.202076584162874,0.2560929559943903,pieli,1.0020334105837434,2,knn,"kappa=1,3,5",5000,5.0,
pagerank,0.9817776605793934,0.9851184098642478,0.09236918351602022,0.42922480476939406,exp,1.0020179868969645,2,knn,"kappa=1,3,5",5000,5.0,
betweenness,0.8816174635307374,0.883980023119164,0.8827884266075461,-0.03260572464978463,pieli,1.0003499889160323,2,knn,"kappa=1,3,5",5000,5.0,
closeness,0.21612486767302858,0.553487545520405,-0.0766703411128583,-0.015279541308398205,exp,1.3842992982063331,2,knn,"kappa=1,3,5",5000,5.0,
harmonic,0.3991770820486807,0.7706113224837852,0.27525252750560136,0.37773993372046966,exp,1.446225415706399,2,knn,"kappa=1,3,5",5000,5.0,
